$p0001:             Hey, kid! You're from one of those farmers' planets down there right? What brought you here?
$c0011:             Mouse buttons? Joe, I think you should stop drinking.
$c0012:             Consumables?
$c0013:             What kind of service?
$c0014:             Sure, that sounds fair.
$c0015:             Okay.
$c0016:             How do I mine asteroids, again?
$c0030:             Wait, Joe... I've recently hacked one old terminal in this system...
$c0029:             So, what do I need to do?
$c0017:             Give me the package you stole, now!
$c0018:             You're lying! And you'll die for that!
$c0019:             Deal.
$c0020:             Tell me about your family.
$c0021:             Ah, okay. I'll give you 500d.
$c0022:             How old are your sons?
$c0023:             Ah, okay. I'll give you 500d.
$c0024:             Both of them?
$c0025:             Ah, okay. I'll give you 500d.
$c0026:             What's your wife's name again?
$c0027:             Ah, okay. I'll give you 500d.
$c0028:             But you just said her name was Molly!
$t0001:             Hello! I'm new here.
$t0002:             Get a better ship
$t0003:             Get the ship
$t0004:             Got the package
$t0005:             Consumables
$t0006:             Got some ore
$t0010:             Final task
$t0007:             What's next?
$t0008:             Package
$t0009:             Fix your life
$q0001:             Join a faction
$q0002:             Package for a Banshee
$q0003:             Mining for consumables
$q0012:             Final task
$q0004:             In order to achieve something in this world, I should join a faction.
$q0005:             I should find the pirate named Scurvy and retrieve the package he stole from One-Eyed Joe. I should also try using the cruise mode of my ship. It will make the trip much faster.
$q0006:             I successfully completed Joe's task. He gave me a new ship hull as promised.
$q0007:             I should buy a mining device, equip it, and try to extract 50 pieces of glepsite ore from nearby asteroids. Then I should bring it back to One-eyed Joe and collect my reward.
$q0008:             I've completed Joe's task, and he gave me my reward, just as we agreed.
$q0013:             Joe said that he has a new task for me, which should be the last one. I need to ask him about it.
$q0014:             I need to find an old terminal which is currently used by pirates as their secret stash location. Then I need to hack it and grab all the loot there. This should give me the necessary access codes to the gate network allowing me to leave this star system. I should report to Joe when I'm done with hacking.
$q0015:             Joe explained to me how to use the access codes to travel through the gate network. Now I can finally leave this star system!
$q0016:             I hacked the terminal successfully. Now I should report to Joe, so he can explain to me how to use the gate network.
$q0009:             I've got the package. Now I need to take it back to One-Eyed Joe.
$q0010:             I've got the package. Now I need to take it back to One-Eyed Joe.
$q0011:             Scurvy is dead. I should search for a package in his wreck.
$n0001:             Access codes to Jumpgates network received.
$n0002:             
$n0003:             Inventory is full
$n0004:             You cannot take the package because your inventory is full.
$n0005:             Inventory is full
$n0006:             You cannot take the package because your inventory is full.
$i0001:             Scurvy
