$p0001:             Analyzing recording...
$p0040:             We have a witness. One of the survivors of this attack. He told us that he heard radio transmissions that proves that Judd was the one responsible.
$p0041:             Personally, I have no doubts that Judd is guilty. These Freedom thugs often attack our transports, but this time we finally have the evidence.
$p0042:             It's Coldridge. He's right over there. You can speak to him right now if you wish.
$p0043:             Yes, what about it?
$p0044:             A fake? Why are you so sure?
$p0045:             Let me take a look at it.
$p0046:             Damn, you're right! Well, I guess I should release this Judd and give him my apologies.
$p0047:             I'll tell him about your little role in this. I'm sure he will be grateful.
$c0001:             ( Analyze noise )
$c0002:             ( Analyze structure )
$c0003:             ( Analyze headers )
$c0004:             ( Leave terminal )
$c0005:             ( Analyze noise )
$c0006:             ( Analyze structure )
$c0007:             ( Analyze headers )
$c0008:             ( Leave terminal )
$c0009:             ( Analyze noise )
$c0010:             ( Analyze structure )
$c0011:             ( Analyze headers )
$c0012:             ( Leave terminal )
$c0013:             ( Try to restore missing part )
$c0014:             What is it exactly you heard?
$c0015:             But why are you so sure that it was Judd?
$c0016:             Can I take a look at that recording?
$c0017:             I want to hear it with my own ears, just to be sure.
$c0018:             It's a fake. It was captured during some fight with pirates.
$c0019:             I need to think about it.
$c0020:             I need to think about it a little bit more.
$c0021:             I won't turn you over. Here, take the recording.
$c0022:             But what can I do?
$c0023:             Who's in charge of the investigation?
$c0024:             What did he do?
$c0025:             What evidence do you have against Judd?
$c0026:             Who is this witness? I'd like to speak to him.
$c0027:             It's a fake.
$c0028:             Nothing.
$c0029:             I've got the full recording. It proves that it was captured during an attack on some pirates.
$t0001:             Need help?
$t0002:             Need help?
$t0003:             Witness
$t0004:             Recording
$t0005:             Decision
$t0006:             Judd's case
$t0007:             About recording
$t0008:             Analyze recording
$q0001:             Mercenary crime
$q0002:             Mercenary crime
$q0003:             Apparently, the recording is a fake. It was captured during a fight with Judd and some pirates, not during the ambush. Then a part of the recording was cut out to fabricate evidence against Judd. I need to confront Coldridge about this.
$q0004:             Officer Coldridge told me that one of the Freedom men, Judd, had attacked and killed several Order members. He is now in custody, while Order officials are ready to give the verdict. However something sounds fishy here. I better investigate this matter myself. Sgt. Ragnar is in charge of the trial. I should talk to him.
$q0005:             I've got the recording. Now I should analyze it at a computer terminal.
$q0006:             Officer Coldridge confirmed that he forged this recording. Now I should decide whether to report him or not. If I report him to Ragnar, Freedom will be grateful, and if I don't - Order will be grateful. I should decide which faction to support.
$q0007:             I've decided not to turn Officer Coldridge over to Sgt. Ragnar. Now Judd will pay for his crimes against the Order.
$q0008:             Mercenary Thorn told me that the Order falsely accused one of Freedom's men, Judd, and placed him under arrest. Thorn is sure that the evidence is fabricated. I need to investigate this matter. Sgt. Ragnar is in charge of this investigation. I should go and talk to him.
$q0009:             Sgt. Rangar told me that the only evidence against Judd is the testimony of Officer Coldridge. I should speak to him. Maybe he will tell me more.
$q0010:             I decided to turn Officer Coldridge over to Sgt. Ragnar. Judd was released.
